Lastname;Firstname;Locker;From;To
Muster;Max;101;22.10.2019;29.06.2020
Müller;Franz;101;21.07.2020;07.08.2020
Muster;Max;101;16.08.2020;02.09.2020
Meier;Edith;102;14.03.2020;29.10.2020
Müller;Franz;103;26.10.2019;11.11.2020
Hofer;Eva;103;12.11.2020;
Eder;Karl;104;03.11.2019;12.07.2020
Hofer;Eva;104;29.08.2020;
Hofer;Eva;105;06.12.2019;21.07.2020
Maier;Moritz;106;08.03.2020;16.05.2020
Eder;Karl;107;26.10.2019;07.08.2020
Hofer;Eva;108;28.04.2020;27.06.2020
Maier;Moritz;109;15.12.2019;13.11.2020
Meier;Edith;110;29.03.2020;25.06.2020
